n,mysort,qsort
2000,0.026000,0.000000
2200,0.029800,0.000200
2400,0.043800,0.000500
2600,0.049900,0.000400
2800,0.052600,0.000200
3000,0.056700,0.000200
3200,0.064400,0.000200
3400,0.086200,0.000400
3600,0.091500,0.000500
3800,0.101100,0.000600
4000,0.103800,0.000300
4200,0.111500,0.000300
4400,0.128300,0.000400
4600,0.134600,0.000600
4800,0.141500,0.000700
5000,0.146600,0.000000
5200,0.158400,0.001200
5400,0.184500,0.000500
5600,0.186300,0.000700
5800,0.203300,0.000500
6000,0.226500,0.000300
6200,0.233300,0.000700
6400,0.284700,0.000700
6600,0.261500,0.002500
6800,0.272400,0.000000
7000,0.301800,0.000300
7200,0.338600,0.000600
7400,0.345600,0.000400
7600,0.332700,0.001000
7800,0.371900,0.000500
8000,0.398600,0.000600
8200,0.389000,0.000100
8400,0.412600,0.002300
8600,0.425300,0.000200
8800,0.471200,0.000600
9000,0.469200,0.000200
9200,0.500400,0.000000
9400,0.542100,0.001300
9600,0.583000,0.000900
9800,0.571100,0.000400
10000,0.564500,0.000100
