n,mysort,qsort
2000,0.000000,0.000000
2200,0.000000,0.001000
2400,0.000000,0.000000
2600,0.000000,0.000000
2800,0.000000,0.000000
3000,0.000000,0.000000
3200,0.000000,0.000000
3400,0.000000,0.000000
3600,0.000000,0.000900
3800,0.000000,0.000000
4000,0.000000,0.001000
4200,0.000000,0.000000
4400,0.000000,0.001000
4600,0.000000,0.000000
4800,0.000000,0.000000
5000,0.000000,0.000000
5200,0.000000,0.001000
5400,0.000000,0.000000
5600,0.001000,0.000000
5800,0.000000,0.001000
6000,0.000000,0.001000
6200,0.000000,0.000000
6400,0.001000,0.000000
6600,0.000000,0.000000
6800,0.001000,0.000000
7000,0.000000,0.001000
7200,0.000000,0.001000
7400,0.000000,0.001000
7600,0.001000,0.000000
7800,0.000000,0.002000
8000,0.000000,0.001000
8200,0.000000,0.001000
8400,0.000000,0.001000
8600,0.000000,0.001000
8800,0.000000,0.001000
9000,0.000000,0.002000
9200,0.000000,0.001000
9400,0.000000,0.001000
9600,0.001000,0.001000
9800,0.000000,0.001000
10000,0.000000,0.001000
